Date,difficulty,market-price
2010-08-06T00:00:00,352.16120906801,0
2010-08-10T00:00:00,352.16120906801,0
2010-08-14T00:00:00,352.16120906801,0
2010-08-18T00:00:00,511.773534256604,0.07
2010-08-22T00:00:00,511.773534256604,0.07
2010-08-26T00:00:00,511.773534256604,0.07
2010-08-30T00:00:00,623.386959868928,0.07
2010-09-03T00:00:00,623.386959868928,0.06
2010-09-07T00:00:00,623.386959868928,0.06
2010-09-11T00:00:00,712.884864552097,0.06
2010-09-15T00:00:00,712.884864552097,0.09
2010-09-19T00:00:00,917.830741301512,0.06
2010-09-23T00:00:00,917.830741301512,0.06
2010-09-27T00:00:00,917.830741301512,0.06
2010-10-01T00:00:00,1318.67005015359,0.06
2010-10-05T00:00:00,1318.67005015359,0.06
2010-10-09T00:00:00,1318.67005015359,0.1
2010-10-13T00:00:00,1378.02816503733,0.1
2010-10-17T00:00:00,1378.02816503733,0.11
2010-10-21T00:00:00,2149.02181494673,0.1
2010-10-25T00:00:00,2149.02181494673,0.18
2010-10-29T00:00:00,2149.02181494673,0.19
2010-11-02T00:00:00,3091.7368904118,0.2
2010-11-06T00:00:00,3091.7368904118,0.25
2010-11-10T00:00:00,4536.35372327504,0.32
2010-11-14T00:00:00,4536.35372327504,0.3
2010-11-18T00:00:00,4536.35372327504,0.28
2010-11-22T00:00:00,6866.89864897274,0.29
2010-11-26T00:00:00,6866.89864897274,0.28
2010-11-30T00:00:00,8078.19525792509,0.28
2010-12-04T00:00:00,8078.19525792509,0.26
2010-12-08T00:00:00,8078.19525792509,0.23
2010-12-12T00:00:00,12251.9997603745,0.23
2010-12-16T00:00:00,12251.9997603745,0.25
2010-12-20T00:00:00,12251.9997603745,0.26
2010-12-24T00:00:00,14484.1623612254,0.25
2010-12-28T00:00:00,14484.1623612254,0.27
2011-01-01T00:00:00,14484.1623612254,0.3
2011-01-05T00:00:00,16307.420938524,0.3
2011-01-09T00:00:00,16307.420938524,0.32
2011-01-13T00:00:00,16307.420938524,0.36
2011-01-17T00:00:00,18437.6443921663,0.4
2011-01-21T00:00:00,18437.6443921663,0.38
2011-01-25T00:00:00,18437.6443921663,0.44
2011-01-29T00:00:00,22012.3813379939,0.45
2011-02-02T00:00:00,22012.3813379939,0.92
2011-02-06T00:00:00,22012.3813379939,0.92
2011-02-10T00:00:00,25997.8799288144,0.97
2011-02-14T00:00:00,25997.8799288144,1.08
2011-02-18T00:00:00,36459.8869250751,1.05
2011-02-22T00:00:00,36459.8869250751,0.88
2011-02-26T00:00:00,36459.8869250751,1
2011-03-02T00:00:00,55589.5181268687,0.97
2011-03-06T00:00:00,55589.5181268687,0.92
2011-03-10T00:00:00,76192.6193475137,0.88
2011-03-14T00:00:00,76192.6193475137,0.91
2011-03-18T00:00:00,76192.6193475137,0.87
2011-03-22T00:00:00,76192.6193475137,0.79
2011-03-26T00:00:00,68977.7846302096,0.89
2011-03-30T00:00:00,68977.7846302096,0.8
2011-04-03T00:00:00,68977.7846302096,0.8
2011-04-07T00:00:00,82345.6441129666,0.75
2011-04-11T00:00:00,82345.6441129666,0.76
2011-04-15T00:00:00,82345.6441129666,0.98
2011-04-19T00:00:00,92347.5909520943,1.2
2011-04-23T00:00:00,92347.5909520943,1.38
2011-04-27T00:00:00,92347.5909520943,1.78
2011-05-01T00:00:00,109670.133292477,4.14
2011-05-05T00:00:00,109670.133292477,3.56
2011-05-09T00:00:00,109670.133292477,3.91
2011-05-13T00:00:00,157416.401843649,6.55
2011-05-17T00:00:00,157416.401843649,8.47
2011-05-21T00:00:00,244112.487774336,6.98
2011-05-25T00:00:00,244112.487774336,7.27
2011-05-29T00:00:00,434877.045527628,8.68
2011-06-02T00:00:00,434877.045527628,9.67
2011-06-06T00:00:00,567269.530162422,19.05
2011-06-10T00:00:00,567269.530162422,32.34
2011-06-14T00:00:00,567269.530162422,23.66
2011-06-18T00:00:00,876954.493513537,18.87
2011-06-22T00:00:00,876954.493513537,15.39
2011-06-26T00:00:00,1379192.28822808,17.58
2011-06-30T00:00:00,1379192.28822808,17.35
2011-07-04T00:00:00,1379192.28822808,15.74
2011-07-08T00:00:00,1563027.99611622,16.1
2011-07-12T00:00:00,1563027.99611622,15.07
2011-07-16T00:00:00,1563027.99611622,14.25
2011-07-20T00:00:00,1690895.80305239,14.54
2011-07-24T00:00:00,1690895.80305239,13.93
2011-07-28T00:00:00,1690895.80305239,14.1
2011-08-01T00:00:00,1888786.70535305,14.58
2011-08-05T00:00:00,1888786.70535305,11.5
2011-08-09T00:00:00,1888786.70535305,9.66
2011-08-13T00:00:00,1888786.70535305,9.93
2011-08-17T00:00:00,1805700.83619367,11.36
2011-08-21T00:00:00,1805700.83619367,11.75
2011-08-25T00:00:00,1805700.83619367,11.3
2011-08-29T00:00:00,1805700.83619367,9.48
2011-09-02T00:00:00,1777774.48200146,8.46
2011-09-06T00:00:00,1777774.48200146,8.27
2011-09-10T00:00:00,1777774.48200146,6.76
2011-09-14T00:00:00,1755425.3203287,6.19
2011-09-18T00:00:00,1755425.3203287,5.02
2011-09-22T00:00:00,1755425.3203287,6.18
2011-09-26T00:00:00,1755425.3203287,5.49
2011-09-30T00:00:00,1689334.4045971,4.94
2011-10-04T00:00:00,1689334.4045971,5.06
2011-10-08T00:00:00,1689334.4045971,4.79
2011-10-12T00:00:00,1689334.4045971,4.16
2011-10-16T00:00:00,1468195.42722083,4.01
2011-10-20T00:00:00,1468195.42722083,2.59
2011-10-24T00:00:00,1468195.42722083,3.32
2011-10-28T00:00:00,1468195.42722083,3.1
2011-11-01T00:00:00,1203461.92637997,3.38
2011-11-05T00:00:00,1203461.92637997,3.22
2011-11-09T00:00:00,1203461.92637997,3.19
2011-11-13T00:00:00,1203461.92637997,3.11
2011-11-17T00:00:00,1192497.75008948,2.6
2011-11-21T00:00:00,1192497.75008948,2.45
2011-11-25T00:00:00,1192497.75008948,2.48
2011-11-29T00:00:00,1192497.75008948,2.64
2011-12-03T00:00:00,1090715.68005127,3.14
2011-12-07T00:00:00,1090715.68005127,3.06
2011-12-11T00:00:00,1090715.68005127,3.12
2011-12-15T00:00:00,1155038.33396364,3.26
2011-12-19T00:00:00,1155038.33396364,3.36
